大分類,中分類,具体的な内容・トピック,採用
モーニングジャーナル (内省),身体不調と食欲低下,内臓が弱り食欲が落ちている,FALSE
モーニングジャーナル (内省),身体不調と食欲低下,夜中におかゆを食べて過ごした,FALSE
モーニングジャーナル (内省),睡眠と生活リズムの乱れ,深夜就寝により眠気を感じている,FALSE
モーニングジャーナル (内省),睡眠と生活リズムの乱れ,少しずつ生活が戻りつつある,FALSE
モーニングジャーナル (内省),手帳運用と思考整理の悩み,マンスリー手帳の必要性を実感,FALSE
モーニングジャーナル (内省),手帳運用と思考整理の悩み,AI活用でやりたいことが明確化,FALSE
モーニングジャーナル (内省),理想の生活と目標,減量して楽しくバドミントンしたい,FALSE
モーニングジャーナル (内省),理想の生活と目標,寝室を良い空間に変えたい,FALSE
モーニングジャーナル (内省),就職活動での心境の変化,面接まで進めない不安感,FALSE
モーニングジャーナル (内省),就職活動での心境の変化,面接してもらえることへの感謝,FALSE
インプット (趣味・感性),アニメ鑑賞,無職転生を鑑賞,FALSE
実績 (完了タスク),手続きと応募の完了,トーハンへ応募した,FALSE
実績 (完了タスク),手続きと応募の完了,印鑑証明と車庫証明の準備をした,FALSE
実績 (完了タスク),生活改善とツール設定の完了,GoogleのTodoをMacへ連携検討した,FALSE
実績 (完了タスク),生活改善とツール設定の完了,バックカメラについて伝えた,FALSE
実績 (完了タスク),生活改善とツール設定の完了,早く寝る目標を達成した,FALSE
実績 (完了タスク),買い物の完了,とうふを購入した,FALSE
予定 (Google Calendar),(記録なし),,FALSE
未完了ToDo (Google Tasks),調査と手続きの残タスク,スイングトレードの割合を調べる,FALSE
未完了ToDo (Google Tasks),調査と手続きの残タスク,競馬の買い方を調べる,FALSE
未完了ToDo (Google Tasks),調査と手続きの残タスク,ソニー損保の手続きを進める,FALSE
未完了ToDo (Google Tasks),調査と手続きの残タスク,デミオのミラーを調べる,FALSE
未完了ToDo (Google Tasks),生活計画と読書の残タスク,日の名残りを読む,FALSE
未完了ToDo (Google Tasks),生活計画と読書の残タスク,壁紙の張り方を調べる,FALSE
未完了ToDo (Google Tasks),生活計画と読書の残タスク,1年計画を立てる,FALSE
未完了ToDo (Google Tasks),応募と展示リマインドの残タスク,履歴書を送る,FALSE
未完了ToDo (Google Tasks),応募と展示リマインドの残タスク,伊藤若冲展リマインダーの件,FALSE
未完了ToDo (Google Tasks),買い物の残タスク,大きい生姜とニンニクを購入する,FALSE
